,matches
27916,"[(22592, 0.7435665079774552), (58268, 0.7271299744709476), (27004, 0.7177194959259838), (35278, 0.7130279705023467), (42312, 0.7018893996678857), (4322, 0.7015152046342865), (19106, 0.6908464561467914), (31512, 0.6838213597883526), (46044, 0.6826858125632259), (30082, 0.6824608766281595), (43969, 0.6817209498419905), (3320, 0.6810601250451361), (38005, 0.6809463218582847), (48354, 0.6789133755324789), (54795, 0.6764873137182229), (58465, 0.6731847567263431), (29231, 0.6682139363772064), (29864, 0.6678202787878211), (1552, 0.6648418106115345), (27546, 0.6644140996734889), (54986, 0.6638265230951605), (54116, 0.6622437848976633), (10590, 0.6620611094323702), (30356, 0.6614118630303207), (16164, 0.6608387753303371), (34785, 0.660309451420755), (46908, 0.6594434767614258), (51102, 0.6593780929051982), (44028, 0.6586880425322034), (26240, 0.6577958511363279), (45307, 0.6577210516475145), (47404, 0.65472145027064), (49826, 0.6546741201317297), (35938, 0.6534855534325915), (14164, 0.6507097066962014), (42668, 0.6505149452485501), (40941, 0.6502897979756092)]"
53888,"[(5278, 0.7242807101498948), (33805, 0.7176617638511426), (41456, 0.7017455132550569), (16257, 0.6985991524568302), (29916, 0.6944829546366869), (3714, 0.6902968055085922), (32793, 0.6897964415728574), (24939, 0.6682881384322905), (53335, 0.6595496009439157), (28736, 0.6553749416523705), (324, 0.6523331645305938)]"
40932,[]
21953,[]
5759,"[(57237, 0.7418992749305179), (2110, 0.6953826764273469), (12492, 0.6819834726098345), (14284, 0.6663420569689568), (47866, 0.6566341535848341), (20376, 0.6530318351331755), (40668, 0.6509412779504161)]"
42675,"[(17488, 0.999999999999206), (41572, 0.999999999999206), (4313, 0.999999999999206), (13675, 0.999999999999206), (3177, 0.999999999999206), (59757, 0.999999999999206), (41774, 0.999999999999206), (31812, 0.999999999999206), (56275, 0.999999999999206), (57203, 0.999999999999206), (47745, 0.999999999999206), (35867, 0.999999999999206), (49495, 0.999999999999206), (24993, 0.999999999999206), (33969, 0.999999999999206), (36887, 0.999999999999206), (31730, 0.9999999999990123), (17642, 0.9999999999990123), (43682, 0.9999999999990123), (11347, 0.9999999999990123), (44470, 0.9999999999990123)]"
47600,"[(22397, 0.6899082475544218), (54760, 0.6732343891649202), (21093, 0.6564441229258905), (59796, 0.6527853325882441)]"
20162,[]
37756,[]
12370,"[(48948, 0.6819110798764835), (58002, 0.6655529962267097), (16294, 0.6637986898356921), (35596, 0.6634032332520594), (34572, 0.6518703211136756)]"
