,matches
15136,"[(46008, 0.6877296743936504)]"
32967,"[(51706, 0.7311372204100725), (46455, 0.7164247521067537), (2200, 0.7107431923936128), (31348, 0.6994381170702828), (10940, 0.6852616186940402), (25457, 0.6840719859251428), (36137, 0.6839712060542559), (781, 0.6832638275033708), (22452, 0.6825747295870124), (21093, 0.6771552860122891), (53841, 0.6733847463774943), (34191, 0.6722526551140883), (49658, 0.6678711935654924), (40370, 0.6667977701784524), (1039, 0.6667086084885242), (2864, 0.6663177370783909), (13064, 0.6657159989082931), (31563, 0.6656163187451832), (20512, 0.6629452236915966), (30782, 0.6619592450884234), (34615, 0.6617405891305522), (14198, 0.6615993907784765), (30686, 0.65872558195662), (57220, 0.6581305628989274), (57062, 0.6577426732312371), (1723, 0.6571959367836029), (34196, 0.6559396812041164), (5257, 0.6529178246723575), (38737, 0.6528448035946453), (12892, 0.6523295684897318), (1168, 0.6518289659959071), (56790, 0.6508877085763326), (56189, 0.6504430201166761), (22397, 0.6501056645766173)]"
44015,"[(37078, 0.6988707597769367), (21108, 0.6847427221985896), (21070, 0.6705852164813768), (38129, 0.664873001917208), (54751, 0.6620328573023111), (53546, 0.6609551095342487), (1039, 0.6564514421001597), (50575, 0.6531517931383404)]"
26966,"[(9114, 0.7028415770366614), (58921, 0.7023507871155606), (14700, 0.6633567381425128), (10807, 0.6548075152589209), (49793, 0.6529208906063326)]"
8887,[]
41977,[]
37078,"[(36991, 0.7605884754577936), (17869, 0.7543534737564814), (30356, 0.748100852907606), (1552, 0.7467656711948378), (23671, 0.7429529896227521), (12790, 0.7410819636211391), (8920, 0.7377850996387734), (44610, 0.7373966941204032), (19161, 0.7317240520434052), (32231, 0.7312555679626344), (40627, 0.7269105872025805), (48785, 0.726084188949093), (20317, 0.7230282385617326), (40545, 0.7174768286981755), (27004, 0.7161723463981153), (7968, 0.7157404220710527), (4570, 0.7156960471929653), (58268, 0.7142586022278087), (3542, 0.7097944957082767), (44952, 0.7097054940124153), (8871, 0.7093312560296318), (30082, 0.7036602974781481), (26167, 0.7027919307916378), (44028, 0.7012523395282338), (15853, 0.6992356811285553), (44015, 0.6988707597769367), (29124, 0.6982020352913954), (22592, 0.6973474973383003), (2737, 0.6943854544123272), (45915, 0.6939266848585104), (34, 0.6935360278168915), (49826, 0.693244324540005), (24849, 0.692514795406557), (34785, 0.6913496784431299), (44720, 0.6906590737345303), (31889, 0.6870043418461353), (11485, 0.6865958748121732), (57422, 0.6844615552611643), (7287, 0.6843724816806384), (5483, 0.6836257002183779), (16656, 0.6824510685993346), (46683, 0.6813962916871782), (5175, 0.6802589900858798), (21738, 0.6793418516952804), (6621, 0.679166436813553), (57192, 0.6780293386041556), (3296, 0.6760785026481689), (37839, 0.6758651607381874), (56681, 0.6749551443731839), (46889, 0.6748062461883477), (46908, 0.6747916173519608), (28862, 0.6742425505054936), (10057, 0.6735973602906496), (49014, 0.6733674677331851), (40058, 0.6724253777930259), (39532, 0.6723473907347353), (27302, 0.6717391791206411), (44667, 0.671675497334676), (14255, 0.6707457222731077), (16398, 0.6699663457301731), (10590, 0.669733596843967), (1560, 0.669437705663817), (29231, 0.6692948567936687), (45307, 0.6691133949955798), (36973, 0.6688000363119687), (24419, 0.6686715223603702), (10515, 0.6674401920238721), (23922, 0.6673442232812868), (7291, 0.6662248082974594), (21443, 0.665541210365475), (1637, 0.6654793225834019), (58778, 0.6651184508975467), (41551, 0.6647654516620687), (31950, 0.6637585958291418), (33321, 0.6632776955821867), (11468, 0.6630128750340675), (35278, 0.6619878449784921), (15248, 0.6618269390581338), (31603, 0.6613529483883617), (55225, 0.660819113568239), (4958, 0.6596253578950693), (19143, 0.6593955850276303), (56102, 0.6588171562191949), (59208, 0.6586116136764097), (43684, 0.6581998106707437), (41907, 0.6579647821853438), (16349, 0.6569288363896678), (39027, 0.6553861096210216), (22799, 0.6538771531926633), (11781, 0.6529423074881704), (8641, 0.6527857931703743), (2310, 0.6521355895820453), (52839, 0.6520847229750844), (28679, 0.6520692457388207), (41276, 0.6501176131476396)]"
51999,"[(40058, 0.7226007775497072), (41832, 0.7120967618636155), (59251, 0.7111044265119632), (12677, 0.7109647212874264), (30989, 0.6984125538070084), (5340, 0.695174005488121), (41455, 0.6941995266453744), (40162, 0.6890188875287524), (12011, 0.6867386515207229), (36254, 0.6852801161063345), (2200, 0.6810235031716814), (58282, 0.6729064123087868), (44028, 0.6724550291933002), (2864, 0.6718732536884565), (7896, 0.6708766807959101), (14164, 0.6704791819752957), (46889, 0.6695278860301899), (14198, 0.6679221191590189), (47061, 0.6648776362375831), (53841, 0.6630800959545374), (12492, 0.6621003079211935), (24483, 0.6593470842316785), (59208, 0.6584529652395331), (40523, 0.6580427000754601), (41132, 0.6545036843733906), (38964, 0.6539857732699961), (55541, 0.6537339328769579), (39759, 0.6536525700006026), (10057, 0.6530893722236085), (34385, 0.6518732712956447), (5719, 0.6518557681736518), (51726, 0.6507609302793051)]"
52513,"[(46075, 0.7105485580398675), (37139, 0.702887670215818), (11788, 0.6994764735346777), (36035, 0.6970995691766028), (34785, 0.6895883931327346), (43954, 0.6873224587250583), (12712, 0.6868669443097078), (906, 0.6845783485543577), (9044, 0.6845533754937452), (30082, 0.6802054120352534), (19389, 0.6794294335590015), (1637, 0.679243407994347), (45989, 0.6780287109269801), (8920, 0.6775922829219952), (37800, 0.6752328623115431), (34062, 0.6748499595304238), (24292, 0.6747974591907583), (58941, 0.6711467591966749), (56102, 0.6710593644904511), (17939, 0.669802474079692), (35278, 0.669497382768444), (48901, 0.6674531490666455), (15248, 0.6670540710508684), (4958, 0.6664901614188489), (7765, 0.6663606469915349), (45951, 0.6661826772146632), (59208, 0.664250224239258), (8057, 0.6626900876279351), (29920, 0.6610987314208437), (35137, 0.660545503063876), (37303, 0.6603056590614046), (32967, 0.6597797897801072), (32231, 0.6595421349979962), (4570, 0.6584408109273047), (44126, 0.6573834588192728), (38005, 0.6568559859771772), (20139, 0.6562120737398026), (17251, 0.6556838343324436), (36336, 0.6541669751209744), (11559, 0.6534302170612096), (54986, 0.6532791882983741), (32163, 0.6522069694812185), (41987, 0.6519489073151257), (45656, 0.6517028869677901), (49826, 0.6508973798871996), (1095, 0.6506797198190533)]"
42668,"[(52359, 0.7094545889891393), (22397, 0.7070880209647985), (8971, 0.694750275816235), (13613, 0.6936305469457916), (47036, 0.6919204297231358), (57581, 0.684320120425174), (24319, 0.6833939686264411), (57539, 0.6826221032786755), (46818, 0.6807187831341844), (54760, 0.6793474676199169), (56599, 0.6766744169464558), (41737, 0.6724659585079176), (4036, 0.6715172436272576), (6350, 0.664211055119599), (9361, 0.6605957039157396), (1723, 0.6599376901410811), (628, 0.6595142699404256), (46455, 0.6590113406587842), (25690, 0.6589368871381879), (34196, 0.6555360277088697), (29315, 0.6538200168051423), (30851, 0.652997346206796), (27916, 0.6505149452485501)]"
58598,"[(24834, 0.6638786978595947), (21070, 0.6518739502506415)]"
9850,"[(33505, 0.68005051080275), (35332, 0.6673863090066481), (14721, 0.6666254475009542), (31666, 0.6642525768509797), (2225, 0.6634206183913544), (45971, 0.6608458591536313), (33495, 0.6591560820232566)]"
45380,"[(19161, 0.8170842140772517), (31563, 0.8102625683710644), (30356, 0.8049813317063123), (36991, 0.7764999810858084), (56766, 0.7730110063666535), (34248, 0.7710911489489929), (21063, 0.7692265804306129), (53546, 0.7619783496657467), (50678, 0.760556118658775), (29969, 0.7498170468442337), (37078, 0.7494683878043948), (23671, 0.749126201471095), (2737, 0.7482451033503793), (1552, 0.7446999857872687), (32231, 0.740470262636511), (16349, 0.7370500914232221), (54751, 0.73638824135775), (48785, 0.7309924740078703), (29124, 0.7305425347311166), (14255, 0.7300454486042289), (49658, 0.7286377814371867), (52839, 0.7280227510503479), (37115, 0.7273841344880494), (27004, 0.7272152284396782), (1637, 0.7234450932630986), (30082, 0.7215927614303286), (7896, 0.7197243153140976), (19075, 0.7158116709981723), (47730, 0.7142175342489328), (24849, 0.7134991244024059), (12011, 0.711149798606072), (50924, 0.7105750794242952), (36973, 0.7105631433672486), (44952, 0.7083017148889874), (59106, 0.7078346673876189), (7968, 0.7072438840811095), (31603, 0.7064903674814897), (59883, 0.7049414011313176), (11485, 0.7036856407397798), (44028, 0.7000620591527467), (37839, 0.6990456597562416), (56599, 0.6961130805488415), (23805, 0.6950959207618201), (19004, 0.6949788949376392), (1039, 0.6948563794275306), (8920, 0.6944428762943854), (23922, 0.6939199013153429), (40545, 0.6933109629741523), (17869, 0.6896268992643613), (14854, 0.6883508577958203), (55699, 0.6879737194266332), (43684, 0.6878878172236762), (28679, 0.6838214381902767), (41907, 0.6838031021042882), (21443, 0.682898764987046), (34, 0.682465760666767), (41275, 0.6823862591655749), (55225, 0.682085118180426), (8146, 0.6818881336480023), (13443, 0.6814503509088276), (5848, 0.6802554659595818), (37113, 0.6789150406445917), (31977, 0.6782543143212696), (4322, 0.6782044100798257), (4771, 0.6758673676020156), (21701, 0.67545887101992), (8641, 0.6748142777416714), (31950, 0.6741951683152154), (16312, 0.6740939893881265), (16165, 0.6739880746311253), (34785, 0.6732734144426291), (58778, 0.6723105906741247), (1560, 0.6722450910099306), (56982, 0.6719100381298847), (17403, 0.6712820076909886), (39307, 0.6712437294702168), (4661, 0.6708665582801335), (21932, 0.6706076268528718), (29206, 0.6704689874816343), (16398, 0.6702840615250331), (42225, 0.6693067423909934), (46818, 0.6680377742796287), (15784, 0.6677616329440245), (43969, 0.6673680680544712), (3542, 0.665786141299707), (23939, 0.6639748065310048), (46369, 0.6627023279153119), (30359, 0.6623726879533037), (50575, 0.6604213692388133), (22397, 0.6599033720890292), (41551, 0.6596375566288522), (47061, 0.6593327345156285), (56189, 0.6586650804851477), (52359, 0.6580261006785325), (33875, 0.6576073586043418), (45345, 0.6567719185362498), (5175, 0.6566980041849867), (34870, 0.65612438552631), (16294, 0.6548936052326553), (31499, 0.6540861005530959), (728, 0.6540678532106554), (54182, 0.6528268824987553), (628, 0.6527484485348913), (3021, 0.652710545759273), (54760, 0.6525125025844547), (33250, 0.6514365573767574), (42312, 0.650070724640531)]"
49236,[]
7644,"[(24357, 0.6521495923874631)]"
44702,"[(34572, 0.7073154443286737), (23130, 0.6953730560381848), (13374, 0.6922986150470923), (54230, 0.6863732330378071), (56905, 0.6790631748524412), (30851, 0.6641682366642382)]"
29438,[]
21684,"[(6141, 0.6598899339996269), (9050, 0.6566067988222372), (24604, 0.6516337808779591)]"
49330,"[(23805, 0.7378842007637052), (58268, 0.7292449846382466), (36991, 0.7244842950037914), (19161, 0.7135323629705679), (26240, 0.7124915658883518), (44028, 0.7122186633781922), (30356, 0.706849735703364), (41907, 0.7067607904196153), (34785, 0.7011052833037726), (18977, 0.6967595597096139), (37303, 0.6953303538527055), (38350, 0.6947153801602858), (30082, 0.6882199484823406), (48564, 0.6869709941180351), (35278, 0.6833949018348687), (31191, 0.6830887299509154), (42312, 0.6755510298966519), (49826, 0.6748806986724277), (1637, 0.6697122682660369), (58778, 0.6693644979585206), (27004, 0.6683177054069873), (18978, 0.66710279462581), (55225, 0.6669362610021226), (21738, 0.6667953496440381), (34804, 0.6658694249234561), (18668, 0.6657031159748975), (5316, 0.6643191904056401), (24292, 0.6635525622182117), (47404, 0.6628658939690478), (19143, 0.6604488642143383), (1143, 0.6602095688486203), (31603, 0.6601443041568331), (33250, 0.6595301174228476), (8057, 0.6589930683760501), (13036, 0.6583194027918058), (9718, 0.6579488082127397), (46044, 0.6572397360611578), (46908, 0.6537891252129129), (41987, 0.6502878155218883)]"
25240,"[(22592, 0.6743931517402135), (7765, 0.6734004185620648), (51056, 0.6732794062258811), (21473, 0.6729201778293538), (12553, 0.671635506268801), (9044, 0.6674219519964458), (58941, 0.6624971469442745), (34147, 0.6567410462776553), (44126, 0.6528040304791213), (30912, 0.6522849288793453), (22814, 0.6522782944605486), (5988, 0.6507874630179237)]"
2000,"[(54184, 0.6756779547323802), (11914, 0.6690466269863361)]"
24531,[]
28445,"[(48786, 0.7808773914533778), (10857, 0.7781744684540293), (1214, 0.7453723253773262), (16312, 0.7410399876655914), (6251, 0.727501931262069), (22741, 0.7272609527239127), (35737, 0.7219351928155942), (27004, 0.7191629862159226), (35278, 0.7090549699696156), (43684, 0.7036166332617674), (11361, 0.7015863668150885), (3320, 0.6997489017827024), (41551, 0.6955318276005427), (32527, 0.6897133205496944), (4322, 0.6892548462360448), (2322, 0.6878865742278649), (40941, 0.6834304909569872), (3704, 0.6811553704821175), (52839, 0.68084554073455), (44610, 0.6770940168212074), (2737, 0.6760193636695907), (9950, 0.6753618634961898), (36973, 0.6744660254044337), (11485, 0.6740424239514912), (4958, 0.673866747164075), (55225, 0.6667181093813771), (39845, 0.6654599178294826), (58268, 0.6639053957800285), (15951, 0.66069825945164), (5114, 0.6550343253354511), (42867, 0.6526916093643801), (8641, 0.6503885180505583)]"
29843,"[(38737, 0.716415581156296), (36399, 0.7158972047508022), (25546, 0.6959306703565896), (45586, 0.688325041132404), (21108, 0.6883190392815254), (46838, 0.686370193665078), (14198, 0.6758104338110936), (58123, 0.6682759441837752), (22552, 0.6660167139215396), (36254, 0.6646879473660517), (21373, 0.6613149694433881), (19250, 0.6557926499878115), (33405, 0.6549305284664233), (51067, 0.6547976535379468), (49288, 0.6539341417623644), (225, 0.6533897821367735), (5848, 0.6518592824541644), (17429, 0.650836736264071), (58567, 0.6508118576406068), (53906, 0.6501472197529565)]"
781,"[(59208, 0.7075339644609363), (19112, 0.6901876977317519), (35117, 0.6866120175392748), (32967, 0.6832638275033708), (28639, 0.6814187071708934), (39095, 0.6791695571350871), (6298, 0.6771727477069315), (3704, 0.6768758002087898), (8943, 0.6739677639683538), (40612, 0.6718843227168677), (8641, 0.6705772681941133), (16656, 0.6659499722738721), (9095, 0.6648258634594061), (45924, 0.6617688291643833), (6755, 0.6544915058945318), (58941, 0.6515540466739647), (2155, 0.6502825175274229), (45989, 0.6500857666664479)]"
56051,"[(2200, 0.6999991954840421), (57062, 0.6936961317737099), (56982, 0.6852145250043843), (43148, 0.6799178227761503), (33020, 0.6794823082981197), (34191, 0.67606766516775), (22452, 0.6721333205332449), (5257, 0.66903265512368), (9361, 0.66772494939495), (1039, 0.6675955453452481), (50129, 0.6670167069970689), (2053, 0.6660248788878044), (29916, 0.6658263553894608), (36137, 0.6612649338035428), (30084, 0.6603184273141682), (20528, 0.6584750651379797), (27476, 0.6541529189873622), (16257, 0.6538957425290323), (56790, 0.6531345715927878), (31499, 0.6524366816679112), (33582, 0.6517183793191349), (30782, 0.6512810598098451), (37113, 0.6505855297788478), (52259, 0.6504819390388771)]"
30508,"[(36399, 0.665822700296918)]"
7314,"[(48922, 0.6560313249758577)]"
10072,[]
20776,[]
52952,"[(16507, 0.7377500267072558), (5473, 0.7236565113832144), (324, 0.7205227478548611), (28556, 0.717729392333862), (53869, 0.7150677904638453), (28736, 0.7136026596329426), (17429, 0.6915725567746333), (2643, 0.6886666371214953), (12900, 0.684748114109744), (46008, 0.680702184442044), (51229, 0.6731808555887265), (36399, 0.6726176363353443), (22027, 0.6694038359002257), (35938, 0.6672107626144597), (19082, 0.6635266513324192), (19036, 0.6627145904033429), (41262, 0.6611509106382728), (25690, 0.6598796219685192), (45307, 0.6598410008279787), (6045, 0.6545125600576314), (56730, 0.6530178515816148), (45928, 0.6521532112777054), (47425, 0.6518372054786696), (44449, 0.6515031441130067), (45915, 0.6514959420662189), (43148, 0.6504459610799199)]"
5820,"[(19257, 0.6759310336216392), (53173, 0.6628386750529692), (25246, 0.6538518160291175), (28494, 0.6527810471239168)]"
54268,[]
47343,"[(1039, 0.6531829601555201)]"
40693,"[(11063, 0.6848103918656007), (18764, 0.6655369869493025), (22397, 0.6643156441615193), (56599, 0.6635911195176604), (1723, 0.6560480930286138), (42874, 0.6500079506816084)]"
9535,"[(7589, 0.7058169757751933), (28807, 0.6698180563773001), (40319, 0.6637885828285086), (15315, 0.6616399164745842), (14087, 0.6595192393293458)]"
38343,"[(5144, 0.6731300366247555)]"
12063,[]
28662,"[(11459, 0.6763266367121924), (15174, 0.656515706546317)]"
5257,"[(22505, 0.7194078067633637), (44412, 0.7157433660643515), (18724, 0.7088103961878529), (21738, 0.7000445110564313), (24849, 0.6960638245644463), (59208, 0.6882847932994057), (3369, 0.6866035955628207), (35178, 0.6803923058705551), (56051, 0.66903265512368), (14706, 0.6684428430526455), (34147, 0.6683368003430425), (56681, 0.666665700632576), (11788, 0.6662488181670735), (42160, 0.6646375848189058), (49793, 0.6612170716498535), (40058, 0.6610844571519581), (38863, 0.6567029494858292), (17731, 0.6552268100641202), (9044, 0.6551367244247684), (13922, 0.6546875728087204), (32967, 0.6529178246723575)]"
47718,"[(35278, 0.7371924898290035), (54986, 0.6860460651816139), (44720, 0.6813784877923937), (26824, 0.674821881082172), (10590, 0.6743322704947137), (49826, 0.6731589734576818), (31512, 0.6731403974602419), (46908, 0.6718167757487697), (44028, 0.6629018268004583), (37303, 0.6622477914645923), (34461, 0.6575534509024289), (17869, 0.6551592888805935), (43969, 0.654861724994669), (14164, 0.6504109682152974)]"
56790,"[(10674, 0.7343952162301718), (58941, 0.7269182779773817), (4958, 0.7228793015064046), (15248, 0.7116737662991613), (49014, 0.7061594954612294), (29124, 0.7040837124041391), (48244, 0.6994202772657558), (44034, 0.696796546434833), (30296, 0.6944305107868437), (52016, 0.6848181209431423), (21473, 0.6847737563819901), (35938, 0.6831740450377597), (6780, 0.682576845805787), (35830, 0.6811157354203387), (30912, 0.6807558346422898), (58268, 0.6797968745244931), (22592, 0.6789113496366391), (30989, 0.6779583495626704), (9095, 0.6754271426077191), (13036, 0.6743125959447122), (52513, 0.6739924642528432), (34785, 0.6732909310060013), (44836, 0.6730229907414903), (29055, 0.6711379966299794), (44324, 0.6710332599444818), (43684, 0.6708823943259372), (37139, 0.6703312859387834), (37839, 0.6703279481427559), (8571, 0.6700212763968663), (5781, 0.6699456279778906), (28723, 0.6698230614211146), (6298, 0.6696575093159923), (16656, 0.6688804542139014), (45951, 0.6677639595662932), (50105, 0.6668774895562605), (13071, 0.6667771992323573), (36336, 0.665852400989965), (55225, 0.6636863951404831), (12712, 0.6629909852611909), (1778, 0.6614153450561862), (14432, 0.6609578186918279), (35414, 0.6600186815087615), (14123, 0.6593117126526893), (43954, 0.6582333656351393), (2322, 0.6567930954653466), (56206, 0.6567833501119364), (8988, 0.6553401331514239), (44076, 0.6551387391342358), (37800, 0.6549672861271075), (34147, 0.6549301868287295), (37602, 0.6548693903199321), (29920, 0.6542243904129971), (1095, 0.6540570392091982), (27819, 0.6539797438690496), (59208, 0.6539263489658441), (40941, 0.6536723248471185), (56051, 0.6531345715927878), (32231, 0.6520540133671773), (11788, 0.651384857162198), (32967, 0.6508877085763326), (48768, 0.6508283535335581), (52203, 0.6507737014406909)]"
15697,"[(4958, 0.7545667127594445), (17159, 0.7090326137563608), (13266, 0.7001521834717311), (58941, 0.686496513214864), (58268, 0.6852396996889609), (10644, 0.6831923632821332), (40804, 0.6806956582717649), (52513, 0.6791882731260214), (30912, 0.6777921956653752), (45989, 0.672653549814623), (45656, 0.6692458199432719), (27546, 0.6653620576752098), (5720, 0.6649660489955419), (21473, 0.6635168263536041), (32163, 0.661738528857149), (34, 0.6609271766484556), (6141, 0.6578511178322111), (28723, 0.6572240195622899), (40094, 0.6565499216935653), (48244, 0.6553538385102156), (41079, 0.6548452417982933), (32231, 0.6542901914377068), (38005, 0.6541051481914489), (27004, 0.6535733609283808), (15248, 0.6531646836851615), (40941, 0.6513104008362831)]"
4322,"[(53546, 0.7412190416101788), (19075, 0.7207820143955443), (54182, 0.7074899203818804), (54660, 0.7057806223906807), (28068, 0.7033133296507343), (27916, 0.7015152046342865), (25629, 0.7015130030062448), (55900, 0.6972571400502828), (29969, 0.6966194669587866), (16553, 0.6942121993153828), (56982, 0.6936474655022496), (22397, 0.6892264158667011), (30009, 0.6803685587261566), (1723, 0.6787778346341464), (45380, 0.6782044100798257), (12892, 0.6752196027198892), (56189, 0.6724205783158406), (31499, 0.6722822955859752), (44634, 0.6630291495877537), (34196, 0.6620512502572453), (31977, 0.660849103242905), (50678, 0.6605493838899652), (31563, 0.6581290499029533), (4036, 0.6561670547615784), (33875, 0.6558884414666194), (33269, 0.6546683823110828), (628, 0.6538743719167747), (11063, 0.6517823326171198), (50027, 0.6513381020599602), (27303, 0.6511651894196523)]"
40627,"[(22397, 0.7453019364470432), (50924, 0.7441186935875621), (52359, 0.7376170780502755), (37078, 0.7269105872025805), (37113, 0.7149581332230049), (53546, 0.711771407833533), (41809, 0.7099743071868251), (1039, 0.7091141376789274), (54182, 0.7068690534903472), (21063, 0.7029277317523849), (41570, 0.7013249052102926), (16294, 0.6992301423261892), (46369, 0.6982582591936775), (35676, 0.6953198365319082), (39123, 0.6926348989803497), (14784, 0.6887143666940044), (56189, 0.6866551261718307), (49658, 0.6845348329099489), (47730, 0.6830979164544108), (50678, 0.6821111955674604), (13443, 0.6816176931482832), (17455, 0.6778025580125263), (42225, 0.6764727686723911), (29206, 0.6760014019148725), (8146, 0.6729468804362945), (50575, 0.6728051933527639), (31563, 0.6715325511238035), (6972, 0.6702841569503658), (47320, 0.670047492475057), (58737, 0.6698478280503124), (21671, 0.6696544134792163), (19075, 0.6693180693368677), (54760, 0.6687882856755221), (35596, 0.6677306690632306), (51067, 0.6653113415240777), (34870, 0.6649395557940495), (57581, 0.6648736220442054), (46916, 0.6644604894730787), (5848, 0.663917742526271), (2864, 0.6615020830534104), (38737, 0.6608508663057586), (16165, 0.6606540829158729), (15199, 0.6588903032232123), (6597, 0.6586877157875966), (53906, 0.6583109550329971), (47044, 0.6578129757742959), (17445, 0.6578000998120592), (34572, 0.6572278828137563), (33405, 0.6571421148736776), (21108, 0.6558752759556687), (25546, 0.6518487773690618), (41275, 0.6503795516922419)]"
33233,"[(50926, 0.6591732661284291), (54566, 0.6532566364766683)]"
27090,"[(42615, 0.7138400393159045), (9361, 0.6739735687838718), (25690, 0.6504266245177511)]"
9950,"[(7365, 0.7173067971193204), (57744, 0.7051027063904474), (42371, 0.7000106398598385), (44634, 0.6937764471482132), (22452, 0.6883562963987545), (40880, 0.6852598014590638), (13796, 0.6850377012576342), (28272, 0.6824554394947029), (31348, 0.6800094750665987), (324, 0.6778485502850551), (19374, 0.6761201254178406), (51965, 0.6741846581773207), (36032, 0.671602127500155), (28736, 0.6707136480193857), (16514, 0.6662053862914064), (59412, 0.6637016549445773), (54660, 0.6615319453008017), (55638, 0.6582944412927217), (5406, 0.6578632658065906), (44201, 0.6564618032170704), (18240, 0.6553253019853893), (7881, 0.6510953840560545)]"
29118,"[(43719, 0.6828153301486865), (33722, 0.6807554470682655), (12790, 0.6721375894243835), (11559, 0.6571872691892391), (22564, 0.6553170271937194), (54164, 0.6542813020667068)]"
35332,"[(8059, 0.7014077486242931), (13071, 0.6837549381016751), (36046, 0.6625872927827698), (43927, 0.6562944752310912), (48729, 0.6514667073517045), (22121, 0.6514305773268232)]"
7860,[]
11690,"[(9044, 0.7385068709747422), (11788, 0.7246321688410573), (37602, 0.7090326953232744), (47404, 0.7068615869408209), (51497, 0.6950413282721939), (2322, 0.6810963603579404), (59931, 0.6772668297890866), (34147, 0.6768903332628226), (35319, 0.6754378456927632), (44332, 0.6707306619065214), (14569, 0.670226916104079), (24292, 0.668726579211291), (13016, 0.663932846116266), (27819, 0.6617326407314179), (33977, 0.6613536327375686), (30296, 0.6609082211081455), (1143, 0.6583975558288976), (7765, 0.655355790769712), (38863, 0.655077777735878), (48773, 0.6532578679598178), (14164, 0.6526863537164854), (11887, 0.6522472554052864), (59717, 0.6518274557664331), (58928, 0.6516930429892637), (24849, 0.6513810272299657), (12712, 0.6508557813738278), (4309, 0.6501355084336923)]"
30989,"[(53841, 0.7336437936896607), (38658, 0.7123035136726138), (2200, 0.7054505614519401), (40370, 0.7012573949708584), (30686, 0.6998324159703674), (51999, 0.6984125538070084), (7896, 0.6932760210347712), (22288, 0.6915280445718319), (39735, 0.6880542607836786), (25124, 0.6869586772239419), (2864, 0.6854786635293083), (14198, 0.6837965707398462), (12000, 0.6837472493410659), (47061, 0.6790266513885991), (56790, 0.6779583495626704), (34385, 0.6757364664278702), (1716, 0.6714538005936066), (57220, 0.6712470560623383), (24834, 0.6689052974614181), (40523, 0.6688141847985936), (36633, 0.667924485550562), (12011, 0.6654406458593143), (42452, 0.6640027645000569), (33603, 0.6617882076196508), (25457, 0.6601958299004006), (9361, 0.6552123057347818), (51949, 0.6543702016313111), (51706, 0.6523299570444452), (1039, 0.6514835577448416), (41455, 0.6512172609185901), (49658, 0.6504715257159401), (1168, 0.650004557556211)]"
47532,[]
47683,"[(34191, 0.6835593516773247), (36633, 0.6823391242609603), (1168, 0.6759405483924226), (25457, 0.6674355288125943), (35908, 0.6597651368781814), (53841, 0.6575766975980558)]"
17542,"[(12790, 0.6758651946265161)]"
56042,"[(44184, 0.6684711472278262), (34131, 0.6623360112400234), (22121, 0.653601724415801)]"
49495,"[(42675, 0.999999999999206), (59143, 0.999999999999206), (36002, 0.999999999999206), (59416, 0.999999999999206), (58288, 0.999999999999206), (16073, 0.999999999999206), (15150, 0.999999999999206), (14216, 0.999999999999206), (34174, 0.999999999999206), (27314, 0.999999999999206), (23083, 0.9999999999991719), (53632, 0.9999999999991719), (25261, 0.9999999999991719), (39993, 0.9999999999991719), (26096, 0.9999999999991719), (24759, 0.9999999999991719), (51121, 0.9999999999991719), (27547, 0.9999999999991719), (39090, 0.9999999999991719)]"
1455,"[(23961, 0.7411353945193786), (7223, 0.7327234903608064), (42615, 0.732558734913545), (52376, 0.6934639769053327), (1716, 0.6910312715285446), (47061, 0.6721612177043723), (25690, 0.6719515619127082), (41555, 0.6661253189053948), (51204, 0.6644847504008414), (225, 0.6634432989869512), (54028, 0.6587576915057047), (41085, 0.6549481139049061), (9361, 0.6536469343819344)]"
39307,"[(20402, 0.6800192037616636), (13443, 0.6732676263492628), (56599, 0.67182372223286), (45380, 0.6712437294702168), (46818, 0.6697396110191193), (22397, 0.6603927175975121), (43382, 0.6568180018772198), (22037, 0.6553304391971877), (34191, 0.6545003825910234)]"
